timestamp_s,Fp1,Fp2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
17.312000,50915.820312,-4547.954102,-8675.382812,-2613.678955,-3779.635254,17413.058594,33165.765625,3425.047119,-40302.027344,-66899.242188,-42913.628906,-68298.078125,-82007.679688,-67008.828125,-46046.984375,-62084.250000
17.320000,50922.148438,-4544.892090,-8669.928711,-2610.616699,-3777.243652,17446.765625,33186.617188,3528.647461,-40305.000000,-66901.632812,-42913.382812,-68293.898438,-82010.804688,-67009.906250,-46044.882812,-62129.109375
17.328000,50917.183594,-4546.747070,-8669.436523,-2610.951904,-3775.612061,17420.726562,33169.273438,3426.745850,-40297.335938,-66894.437500,-42910.320312,-68283.484375,-82005.554688,-67004.203125,-46038.113281,-62077.410156
17.336000,50916.738281,-4544.936523,-8667.537109,-2611.868408,-3775.857910,17446.765625,33187.289062,3516.465820,-40297.246094,-66893.179688,-42910.835938,-68283.640625,-82006.273438,-67002.593750,-46037.777344,-62142.007812
17.344000,50903.257812,-4548.267090,-8672.611328,-2612.494141,-3780.484619,17417.082031,33164.714844,3437.430176,-40296.910156,-66891.664062,-42903.191406,-68278.117188,-82003.031250,-66999.648438,-46029.593750,-62062.859375
17.352000,50904.464844,-4547.462402,-8672.432617,-2613.142334,-3775.321289,17445.066406,33180.984375,3504.485352,-40298.652344,-66896.890625,-42914.613281,-68278.921875,-82001.757812,-67002.304688,-46042.648438,-62146.386719
17.360000,50900.062500,-4550.412598,-8675.360352,-2613.276611,-3782.004639,17416.748047,33160.757812,3444.694336,-40299.210938,-66892.492188,-42901.355469,-68286.632812,-82005.132812,-67000.156250,-46025.816406,-62055.214844
17.368000,50909.070312,-4549.004883,-8674.510742,-2616.227051,-3784.731445,17435.523438,33175.039062,3490.001465,-40301.000000,-66904.562500,-42921.292969,-68283.773438,-82008.218750,-67010.351562,-46050.582031,-62156.156250
17.376000,50898.117188,-4550.122070,-8673.661133,-2617.679932,-3785.424316,17417.261719,33162.300781,3455.534912,-40301.894531,-66893.585938,-42899.816406,-68277.960938,-82009.890625,-67003.218750,-46030.558594,-62052.308594
17.384000,50911.820312,-4548.870605,-8667.268555,-2613.589600,-3772.661621,17439.792969,33177.789062,3475.271484,-40297.894531,-66906.687500,-42920.066406,-68282.367188,-82002.203125,-67009.859375,-46050.562500,-62163.242188
17.392000,50905.382812,-4552.759766,-8673.169922,-2612.203613,-3771.499268,17428.056641,33166.187500,3469.527100,-40296.460938,-66901.898438,-42899.589844,-68281.671875,-82004.484375,-67002.796875,-46023.179688,-62053.917969
